,text,level,polarity,sentiment
3615,worker is caught and kill by rotat part while clean,Fatal,0.3666666666666667,Negative
3616,"one employe is killed, anoth injur while hitch a tra",Fatal,-0.2,Negative
3618,worker paint a car is found dead.,Fatal,-0.2,Negative
3619,employe is struck and  kill when pipelin hot tap instal,Fatal,0.25,Negative
3631,employe struck by broken glass and die from injuri,Fatal,-0.4,Negative
3633,employe die from cardiac arrest in bunk room,Fatal,-0.05,Negative
3655,worker crush by car at counti fair ride.,Fatal,0.7,Negative
3660,"one employe is killed, three employe are injur in a bri",Fatal,-0.2,Negative
3667,employe is caught by move conveyor belt and killed.,Fatal,-0.2,Negative
3668,employe is pin between trailer and killed.,Fatal,-0.2,Negative
3672,worker sleep between pallet and wall is killed.,Fatal,-0.2,Negative
3683,employe die of cardiac arrest while work on roof.,Fatal,-0.05,Negative
3685,employe is kill in fall down stair,Fatal,-0.15555555555555559,Negative
3688,employe fall from top ramp of transport trailer and is kil,Fatal,0.5,Negative
3707,employe is found dead of natur caus in boat.,Fatal,-0.2,Negative
3735,logger is struck and kill by fall tree top,Fatal,0.5,Negative
3752,worker fall from the top of a servic elev car and is k,Fatal,0.5,Negative
3754,employe fall down stair and is kill,Fatal,-0.15555555555555559,Negative
3782,employe is struck in head by hook and is killed.,Fatal,-0.2,Negative
3783,employe fall down a sewer pipe and is kill,Fatal,-0.15555555555555559,Negative
3791,painter found unrespons and determin to have been elect,Fatal,0.8,Negative
3796,one employe kill one injur due to argon gas,Fatal,-0.125,Negative
3797,one employe kill one injur due to argon gas,Fatal,-0.125,Negative
3815,employe fall from trailer and is killed.,Fatal,-0.2,Negative
3818,employe is crush by vacuum tank and kill,Fatal,-0.008333333333333333,Negative
3824,"one employe is killed, three injured, when atv overturn",Fatal,-0.2,Negative
3831,employe enter vessel and is killed.,Fatal,-0.2,Negative
3844,roofer fall from roof and is killed.,Fatal,-0.2,Negative
3870,employe collaps from cardiac arrest,Fatal,-0.05,Negative
3872,employe is kill when crush while clean a hay bailer/,Fatal,0.3666666666666667,Negative
3904,employe collaps due to a heart attack,Fatal,-0.125,Negative
3919,employe make direct contact with energ conductor and i,Fatal,0.1,Negative
3921,employe caught in elev door and killed.,Fatal,-0.2,Negative
3925,employe die of unknown natur caus,Fatal,-0.1,Negative
3943,employe die from cardiac arrest,Fatal,-0.05,Negative
3953,employe found dead insid a trailer,Fatal,-0.2,Negative
3980,employe fall off a stacker conveyor and is killed.,Fatal,-0.2,Negative
3997,employe is burn by hot water and is kill,Fatal,0.25,Negative
4026,employe is kill when struck-bi an excav and partial,Fatal,-0.1,Negative
4041,employe fall through sky light and is kill,Fatal,0.4,Negative
4046,employe lose conscious and die while pack move t,Fatal,0.1,Negative
4053,employe drown while clean custom pool,Fatal,0.3666666666666667,Negative
4054,employe work alon found dead from unknown caus,Fatal,-0.15000000000000002,Negative
4056,employe is found dead in park lot,Fatal,-0.2,Negative
4063,employe is struck by pipe and killed.,Fatal,-0.2,Negative
4084,employe is overcom by fume and pronounc dead,Fatal,-0.2,Negative
4098,employe is crush while free jam in machin,Fatal,0.4,Negative
4104,employe is found unconsci at top of basement ramp,Fatal,0.5,Negative
4108,employe drive down embank and is kill,Fatal,-0.15555555555555559,Negative
4134,roofer is electrocut when contact high voltag overhead,Fatal,0.16,Negative
4138,employe found unrespons at tower base,Fatal,-0.8,Negative
4152,employe is electrocut while trim tree near power lin,Fatal,0.1,Negative
4153,employe is kill while clean storag tank from lack of ,Fatal,0.3666666666666667,Negative
4255,"worker dies, caus unknown",Fatal,-0.1,Negative
4264,worker die of unknown injuri,Fatal,-0.1,Negative
4265,worker instal side fall from scaffold and is killed.,Fatal,-0.2,Negative
4317,employe feel ill and later die,Fatal,-0.25,Negative
4342,employe fall down a chimney and is kill,Fatal,-0.15555555555555559,Negative
4360,employe fall from ladder while chang light bulb and lat,Fatal,0.4,Negative
4380,one employe killed; two employe are asphyxi insid tan,Fatal,-0.2,Negative
4389,employe is electrocut while clean tabl saw,Fatal,0.3666666666666667,Negative
4416,electr shock - direct contact with energ parts. employ,Fatal,0.1,Negative
4441,logger is struck and kill by snag tree top,Fatal,0.5,Negative
4443,employe fall from 10 foot high wall and is killed.,Nonfatal,-0.020000000000000004,Positive
4447,employe is kill in fall while trim or cut down tr,Fatal,-0.15555555555555559,Negative
4449,employe is electrocut while instal light fixtur,Fatal,0.4,Negative
4452,worker fall down stair and is kill,Fatal,-0.15555555555555559,Negative
4454,employe die from non-work relat ill,Nonfatal,-0.5,Positive
4456,worker lose conscious while pick lemon and later di,Fatal,0.05,Negative
4476,employe contact a live wire and is electrocut,Fatal,0.13636363636363635,Negative
4497,employe die from cardiac arrest,Fatal,-0.05,Negative
4503,employe is kill from unknown sourc,Fatal,-0.1,Negative
4515,employe is electrocut by high voltag wire,Fatal,0.16,Negative
4521,employe clean window fall from roof and is kill,Fatal,0.3666666666666667,Negative
4525,employe was found in his truck dead,Fatal,-0.2,Negative
4529,employe die from unknown caus,Fatal,-0.1,Negative
4530,employe found dead under trailer truck,Fatal,-0.2,Negative
4537,employe is found dead on the floor,Fatal,-0.2,Negative
4546,employe is electrocut while remov recess light,Fatal,0.4,Negative
4550,employe is electrocut by drop light while dig hole fo,Fatal,0.4,Negative
4570,one employe is electrocut and two serious injur when ,Fatal,-0.3333333333333333,Negative
4609,employe is electrocut when flat bed trailer contact over,Fatal,-0.025,Negative
4614,employe suffer cardiac arrest and die,Fatal,-0.05,Negative
4628,employe fall from top of build and is kill,Fatal,0.5,Negative
4635,employe die from heat-rel ill while trim tree,Fatal,-0.5,Negative
4644,employe kill in worksit due to heat stress,Fatal,-0.125,Negative
4655,five employe becom ill after exposur to gas from chlorin,Fatal,-0.5,Negative
4665,electrician is electrocut after contact with live wire,Fatal,0.13636363636363635,Negative
4673,employe is kill due to traumat asphyxia,Fatal,-0.125,Negative
4676,employe is kill while cut live wire,Fatal,0.13636363636363635,Negative
4678,employe is kill when struck by top loader,Fatal,0.5,Negative
4681,employe kill due to cardiac arrest,Fatal,-0.075,Negative
4688,"employe pass out, fall and is killed.",Fatal,-0.2,Negative
4693,employe is kill when expos to hot weather,Fatal,0.25,Negative
4703,employe fall from 4th floor apart complex and is kill,Fatal,-0.3,Negative
4705,employe is kill when struck by unknown object,Fatal,-0.1,Negative
4715,employe is struck by unknown object and is kill,Fatal,-0.1,Negative
4718,"employe found dead, due to non-work relat caus",Fatal,-0.1625,Negative
4746,employe is electrocut while strip live wire,Fatal,0.13636363636363635,Negative
4747,"employe slips, hit head on wet concret floor, and is kill",Fatal,-0.1,Negative
4752,employe is kill from heat stress while clean work site,Fatal,0.3666666666666667,Negative
4759,worker is crush and kill by fall pipe fit,Fatal,0.4,Negative
4761,employe is overcom by heat while instal new floor,Fatal,0.13636363636363635,Negative
4764,employe fall from ladder while clean gutter and die,Fatal,0.3666666666666667,Negative
4797,employe faint and later die from blood clot in heart,Fatal,-0.25,Negative
4802,employe is partial crush by fall skid loader,Fatal,-0.1,Negative
4807,employe is electrocut while chang light bulb in swimmi,Fatal,0.4,Negative
4808,employe is kill in fall dure chicken hous construct,Fatal,-0.6,Negative
4811,employe fall from scaffold and is killed.,Fatal,-0.2,Negative
4816,employe is kill when trench collaps on top,Fatal,0.5,Negative
4822,employe is kill when overcom by unknown substanc,Fatal,-0.1,Negative
4823,employe die from asphyxi due to kerosen vapor in ra,Fatal,-0.125,Negative
4828,employe fall down stairwel and is kill,Fatal,-0.15555555555555559,Negative
4831,employe is burn by hot greas and die,Fatal,0.25,Negative
4843,"employe fall from elevation, sustain head trauma and late",Fatal,-0.3,Negative
