,text,Degree of Injury
1247,"employe thumb is lacer by fall object, later amput",Nonfatal
1248,employe amput finger in punch press,Nonfatal
1249,employe finger are injur when caught between move ma,Nonfatal
1250,employe sustain broken leg in trench collaps,Nonfatal
1251,employe slip and amput three finger in run machin,Nonfatal
1252,employe finger are amput in nip point of machin,Nonfatal
1253,employe fingertip is amput while oper manual she,Nonfatal
1254,employe fall from roof and is injur,Nonfatal
1255,employe ankl and shoulder are fractur when struck by f,Nonfatal
1256,employe finger is amput in tabl saw,Nonfatal
1257,employe leg is impal and fractur by fork of cherri p,Nonfatal
1258,employe finger is injur when caught in pulley of moldi,Nonfatal
1259,employe sustain ruptur aneurysm and die,Fatal
1260,employe is burn by hot grease.,Nonfatal
1261,employe is leg fractur while fix equip,Nonfatal
1262,three employe repair down power line are shock,Nonfatal
1263,employe finger are amput while clear debri from ,Nonfatal
1264,employe fall from ladder and sustain multipl fractur,Nonfatal
1265,employe fingertip is amput when caught between object,Nonfatal
1266,"employe is struck by 12,690 pound wire reel and is injur",Nonfatal
1267,employe is injur when struck by wire cabl,Nonfatal
1268,employe pelvi is fractur when struck by fall tree f,Nonfatal
1269,employe fractur wrist and collarbon when fall out of ,Nonfatal
1270,employe finger are caught in nip point of run machin,Nonfatal
1271,employe fall from scaffold and is injur,Nonfatal
1272,employe was struck by dump truck and fractur femur,Fatal
1273,three employe are injur when struck and pin by truck ,Nonfatal
1274,employe suffer multipl hand injuri when caught in chain,Nonfatal
1275,employe leg fractur when struck by fall bed frame,Nonfatal
1276,employe fingertip is amput in nip point of press,Nonfatal
1277,employe fall through a skylight and is kill,Fatal
1278,employe is struck by two fall empti pallet and is kill,Fatal
1279,employe leg is pierc and fractur when struck by forkl,Nonfatal
1280,employe finger is amput while move a grate,Nonfatal
1281,employe finger is amput between roller of run ma,Nonfatal
1282,employe finger is amput in cnc machin,Nonfatal
1283,employe knee is crush when mower roll over,Nonfatal
1284,employe fingertip is amput while reach into run,Nonfatal
1285,employe fingertip is amput when caught between pallet,Nonfatal
1286,employe perform mainten on a bale machin and is k,Fatal
1287,employe amput two finger oper a tabl saw,Nonfatal
1288,employe fractur shoulder fall off a dock,Nonfatal
1289,build collapses; no injuri sustain,Nonfatal
1290,employe is struck by tree dure fell oper,Nonfatal
1291,employe fall from ladder and injur head,Nonfatal
1292,employe skull is fractur when pin under truck,Nonfatal
1293,employe fall from ladder is injur,Nonfatal
1294,no record injuri,Nonfatal
1295,employe finger is amput when caught between dock plat,Nonfatal
1296,employe finger is amput in tabl saw,Nonfatal
1297,employe is crush and kill by fall materi in wareho,Fatal
1298,employe is injur when struck in the head by fall dead ,Nonfatal
1299,employe test transform receiv electr shock,Nonfatal
1300,employe fractur finger from roller grinder,Nonfatal
1301,employe fall from scaffold and fractur spine,Nonfatal
1302,employe finger is amput in axl die cut machin,Nonfatal
1303,employe fall from collaps tree and is kill,Fatal
1304,employe fall from tree and fractur leg,Nonfatal
1305,employe injur shoulder and neck when caught by rv,Nonfatal
1306,employe fall from chimney and suffer multipl injuri,Fatal
1307,employe finger is amput by lath,Nonfatal
1308,employe is stuck by a tree limb and suffer sever injuri,Fatal
1309,employe trip and fall on concret walkway and fractur l,Nonfatal
1310,employe is struck and kill by bus while walk in the em,Fatal
1311,mechan struck and kill by bus,Fatal
1312,employe fall from height and suffer multipl fractur,Nonfatal
1313,employe kill in a tanker truck roll over accid,Fatal
1314,employe fall from roof and fractur rib,Nonfatal
1315,employe struck when vehicl fall off jack and is kill,Fatal
1316,employe suffer multipl fractur while fix a forklift,Nonfatal
1317,employe is struck by pipe and is kill,Fatal
1318,employe sustain finger amput from pneumat cutter,Nonfatal
1319,employe finger are amput in press brake,Nonfatal
1320,employe fall from catwalk and is injur,Nonfatal
1321,employe fall through open in a roof and is injur,Nonfatal
1322,employe fall from ladder and fractur ankl,Nonfatal
1323,employe fall to a lower level from an elev mezzanin a,Nonfatal
1324,employe finger is amput in ap test machin,Nonfatal
1325,employe amput finger while adjust a machin,Nonfatal
1326,employe fall from ladder and is injur,Nonfatal
1327,employe strike scissor lift while oper motor pall,Nonfatal
1328,employe finger are amput in unguard tabl saw,Nonfatal
1329,employe finger is amput when caught-in-between die a,Nonfatal
1330,employe finger is amput when caught in- conveyor belt,Nonfatal
1331,employe finger is amput when caught between the conv,Nonfatal
1332,employe fall into open water and fractur ankl dure ic,Nonfatal
1333,employe fall from height and is injur,Nonfatal
1334,employe hand contact saw blade and amput multipl di,Nonfatal
1335,employe die while perform clean oper,Fatal
1336,employe fall and fractur hip,Nonfatal
1337,employe work in freezer receiv frost burn to finger,Nonfatal
1338,two employe are injur in collaps of lower level platfor,Nonfatal
1339,employe struck by front end loader and is injur,Nonfatal
1340,employe is injur in fall from second level of storag rac,Nonfatal
1341,employe is pin under an all terrain vehicl and is kill,Fatal
1342,"employe lose balance, fall on conveyor belt and is injur",Nonfatal
1343,"employe lose balance, fall on conveyor belt and is injur",Nonfatal
1344,"employe receiv an electr shock, fall from ladder and i",Nonfatal
1345,employe amput finger while perform die chang in die,Nonfatal
1346,employe finger is amput while reorient a link ball w,Nonfatal
1347,employe fall from car hauler trailer and is injur,Nonfatal
1348,employe is injur when struck by piec of metal after the ,Nonfatal
1349,employe trap under overturn construct roller and is,Fatal
1350,employe suffer sever bodi damag due to air pressur rele,Nonfatal
1351,employe fall from tree and is kill,Fatal
1352,employe amput finger when pinch between lift devic,Nonfatal
1353,employe is run over by forklift and die later from a bold ,Fatal
1354,employe is injur when struck by heavi metal cylind,Nonfatal
1355,employe fall 11 feet from platform and fractur arm,Nonfatal
1356,employe fall from truck and is injur,Nonfatal
1357,employe fall into preheat basket and is kill,Fatal
1358,employe fall through skylight and is kill,Fatal
1359,employe is kill when larg tree fall on the truck,Fatal
1360,employe fall through second stori window and is injur,Nonfatal
1361,employe fractur thumb while work with press brake,Nonfatal
1362,employe amput fingertip while examin conveyor unit,Nonfatal
1363,employe touch a power line and is electrocut,Fatal
1364,employe is struck and kill by elev,Fatal
1365,employe finger is amput when caught in paper machin,Nonfatal
1366,employe finger is amput while remov product from hyd,Nonfatal
1367,employe amput finger in pinch machin,Nonfatal
1368,employe run over by farm tractor and is injur,Nonfatal
1369,employe fall through skylight and is injur,Nonfatal
1370,employe is run over by a loader and is kill,Fatal
1371,employe is pull against tree trunk and is injur,Nonfatal
1372,employe is injur in fall from ladder,Nonfatal
1373,employe is injur dure wellhead explos and is burn ,Nonfatal
1374,employe suffer a respiratori ill dure chemic relea,Nonfatal
1375,employe fractur foot when caught between two forklift,Nonfatal
1376,fourteen employe are evalu for exposur to chlorin di,Nonfatal
1377,three employe are hurt with multipl injuri in a facilit,Nonfatal
1378,employe fall from a ladder jack scaffold platform and is k,Fatal
1379,three employe suffer carbon monoxid inhal from fault,Nonfatal
1380,three employe get caught in windstorm and are injur by f,Nonfatal
1381,employe catch finger in an extrus winder and scrape f,Nonfatal
1382,employe finger is amput while insert drum pump int,Nonfatal
1383,"employe is found unrespons next to his vehicle, and die",Fatal
1384,employe fall from carport and is kill,Fatal
1385,employe amput finger in door frame,Nonfatal
1386,employe is crush and kill by fall tree,Fatal
1387,employe fractur shoulder in trip and fall accid,Nonfatal
1388,employe fall while chase bird from under net and is,Nonfatal
1389,employe amput finger while use tabl saw machin,Nonfatal
1390,employe sustain crush injuri to arm when the arm is pul,Nonfatal
1391,employe suffer heart attack while in back of freezer truck,Fatal
1392,employe is scalp when her hair is caught in unguard rol,Nonfatal
1393,employe is injur in fall from retain wall.,Nonfatal
1394,employe is pin by roll of paper and fractur leg,Nonfatal
1395,employe is crush and kill when forklift fall from a hy,Fatal
1396,employe is burn by hot water while oper potato peel,Nonfatal
1397,employe is kill when struck by fall tree branch,Fatal
1398,employe fall ill while take lunch break,Nonfatal
1399,employe slip on wet surfac and suffer broken hip,Nonfatal
1400,employe is pin under shelv unit while move pallet i,Nonfatal
1401,employe partial amput finger and cut sever other f,Nonfatal
1402,"employe hand come into contact with excavator, lose a ",Nonfatal
1403,employe is pin between pallet and suffer bruis rib,Nonfatal
1404,employe fall from ladder and fractur wrist,Nonfatal
1405,employe is struck by porcelain slab and fractur leg,Nonfatal
1406,employe are expos to chlorin dioxid emiss at a man,Nonfatal
1407,employe injur hand while clear product jam from nip po,Nonfatal
1408,employe fall to the floor and fractur hip,Nonfatal
1409,employe amput forearm while set up manual  notch,Nonfatal
1410,employe leg is amput and suffer multipl fractur w,Nonfatal
1411,employe fall from ladder and is injur,Nonfatal
1412,employe fall cross snow cover street and fractur hi,Nonfatal
1413,employe fall through floor and injur head,Nonfatal
1414,employe is injur by fli metal shard and suffer multi,Nonfatal
1415,employe catch finger in wire spool and amput fingerti,Nonfatal
1416,sever employe are knock from rail car by fall track,Nonfatal
1417,employe fall 60 feet and is kill,Fatal
1418,employe is struck by panel and is kill,Fatal
1419,employe fall from an extens ladder and sustain bruis,Nonfatal
1420,employe fall from roof and suffer multipl fractur,Nonfatal
1421,employe receiv unspecifi amput in drive belt syst,Nonfatal
1422,"employe hand contact static plate, and amput finger",Nonfatal
1423,employe fall through unsupport subfloor and is kill,Fatal
1424,employe is struck by pallet truck and bruis leg,Nonfatal
1425,employe fall 24 feet and sustain fractur rib and punct,Nonfatal
1426,employe fall approxim 5 feet and is injur,Nonfatal
1427,employe fall from roof and sustain fractur and lacer,Nonfatal
1428,"employe catch hand at nip point and crush four fingers,",Nonfatal
1429,employe is caught between bucket truck basket and light pol,Nonfatal
1430,employe fall 10 feet off ladder and sustain fractur and,Nonfatal
1431,"employe is struck by bulldozer, sustain crush leg inj",Nonfatal
1432,employe fall from cherri picker and fractur face,Nonfatal
1433,employe is kill when struck by jockey truck,Fatal
1434,employe is struck and kill by truck,Fatal
1435,employe catch finger in machin roller and amput fing,Nonfatal
1436,employe suffer burn from hot pipe while recov metal,Nonfatal
1437,employe is run over by forklift and suffer broken leg and ,Nonfatal
1438,employe amput three finger in mix auger,Nonfatal
1439,employe fall through floor open and is injur,Nonfatal
1440,six employe are expos to sulfur fume and are treat fo,Nonfatal
1441,employe amput finger in trim extrud,Nonfatal
1442,"employe is kill in mower accident, while work intoxica",Fatal
1443,employe amput finger in run pump,Nonfatal
1444,employe suffer punctur wound in foot that becom infect,Nonfatal
1445,employe injur fingertip in machin,Nonfatal
1446,employe fall from scaffold and sustain fractur skull an,Nonfatal
1447,employe fall from fix ladder on railcar and fractur bo,Nonfatal
1448,employe amput finger in brake press machin,Nonfatal
1449,employe receiv chemic burn from unknown substanc,Nonfatal
1450,employe amput finger on rope and pulley system,Nonfatal
1451,employe fall onto lawn mower and fractur ankl,Nonfatal
1452,employe amput finger when caught between cabl and pull,Nonfatal
1453,employe fall from ladder and suffer unspecifi injuri,Nonfatal
1454,employe leg is amput when industri power reach tr,Nonfatal
1455,"employe fall from height, fractur femur and compress",Nonfatal
1456,employe partial amput finger on chees cutter,Nonfatal
1457,employe slip and fall from silag pile and receiv multi,Nonfatal
1458,employe amput finger on blade of joiner machin,Nonfatal
1459,employe partial amput thumb on meat saw,Nonfatal
1460,employe amput fingertip in pinch point between worktabl,Nonfatal
1461,employe fractur hand when caught in the roller of a cook,Nonfatal
1462,employe is caught in mudslid and sustain contus,Nonfatal
1463,employe receiv multipl injuri to hand and finger when,Nonfatal
1464,employe partial amput thumb on meat band saw,Nonfatal
1465,employe is struck and injur by car while cross street,Nonfatal
1466,employe fractur finger when caught in between press die,Nonfatal
1467,employe is kill in trench cave-in,Fatal
1468,employe fall when struck by explod tire and is kill,Fatal
1469,employe fall from third floor balconi and is kill,Fatal
1470,employe fall from stepladd and suffer a head injuri,Nonfatal
1471,employe catch and fractur finger in run pump,Nonfatal
1472,employe fall from scaffold with multipl injuri and late,Fatal
1473,employe injur finger in snow blower,Nonfatal
1474,employe fall from machin and fractur multipl rib,Nonfatal
1475,"employe sever lacer finger on meat cut band saw,",Nonfatal
1476,employe and custom are kill in automobil accid on d,Fatal
1477,employe is kill when pin between forklift and van,Fatal
1478,employe thumb is caught in rotat auger within run ,Nonfatal
1479,employe amput thumb while inspect amus ride tra,Nonfatal
1480,employe fall from roof and is kill,Fatal
1481,employe is struck by forklift and injur foot and leg,Nonfatal
1482,employe contact band saw blade and sustain partial amputa,Nonfatal
1483,employe is struck by fall object and sustain fractur,Nonfatal
1484,employe finger is struck and partial amput by weldi,Nonfatal
1485,employe fall down stair near aircraft door and suffer mu,Nonfatal
1486,employe leg are struck and burn by hot hydraul fluid,Nonfatal
1487,employe is struck by build support and is kill,Fatal
1488,employe leg is caught between roller of conveyor belt an,Nonfatal
1489,employe breath in excess calcium hypochlorit vapor,Nonfatal
1490,employe sustain burn to hand from unknown sourc,Nonfatal
1491,employe is struck by nail from nail gun and was hospit,Nonfatal
1492,employe finger is struck and partial amput by falli,Nonfatal
1493,employe break left ankl when granit counter top falls.,Nonfatal
1494,employe fall from load and fractur hip,Nonfatal
1495,"employe hit cable, fall from elev work platform and  ",Nonfatal
1496,employe fall from scaffold and disloc shoulder,Nonfatal
1497,employe hand is pull into conveyor roller and is fractu,Nonfatal
1498,employe faint and strike head on floor,Nonfatal
1499,employe fall from ladder and fractur leg,Nonfatal
1500,"employe slip on floor, fall and fractur hip",Nonfatal
1501,"the employe is injur in appar fall, later die",Fatal
1502,employe is struck by fli saw blade piec and suffer dee,Nonfatal
1503,employe receiv burn when hose contain a chemic expl,Nonfatal
1504,employe is caught between semi-truck and tow truck and suff,Nonfatal
1505,"employe is struck by a fall oil pan, and break foot",Nonfatal
1506,employe slip and fall on ice in park lot and injur h,Nonfatal
1507,employe fall from conveyor and is injur,Nonfatal
1508,employe fall from conveyor and is injur,Nonfatal
1509,two employe drown while fish,Fatal
1510,employe cut off the tip of his thumb with band saw,Nonfatal
1511,employe partial amput finger in unguard chain and s,Nonfatal
1512,employe stand on fold chair and fall off chair,Nonfatal
1513,employe is struck by truck and is kill,Fatal
1514,employe struck by ton of garbag and is kill,Fatal
1515,employe trip and fall and suffer serious eye bleed in,Nonfatal
1516,"employe hand is pull into auger, fractur hand and am",Nonfatal
1517,employe is attack by dog and receiv lacer on his ,Nonfatal
1518,employe fall from scaffold and sustain contus,Nonfatal
1519,employe hand and thumb are fractur when forklift fall ,Nonfatal
1520,employe hand is pull into machin and is fractur and ,Nonfatal
1521,employe crash go-kart and fractur pelvi,Nonfatal
1522,employe is run over by loader and receiv multipl lower b,Nonfatal
1523,employe eye socket is caught and injur by hook,Nonfatal
1524,employe is struck by dump truck and is kill,Fatal
1525,employe fall and fractur hip,Nonfatal
1526,employe sustain flash burn while cut oil fill column,Nonfatal
1527,employe is struck in the head with a winch hook and is kill,Fatal
1528,employe fingertip are amput when clear jam from e,Nonfatal
1529,employe fall from ladder and strike head,Nonfatal
1530,employe is burn when hot soup bag ruptur,Nonfatal
1531,employe fall into fryer and burn leg,Nonfatal
1532,employe fall through glass window and is kill,Nonfatal
1533,employe is injur when leg get caught in autom weldin,Nonfatal
1534,employe is crush and kill when caught between slide d,Fatal
1535,employe injur arm when it is caught in conveyor system,Nonfatal
1536,employe is burn and kill dure pipelin fire and explo,Fatal
1537,employe is burn when natur gas pipelin catch fire,Nonfatal
1538,employe fractur foot while oper forklift,Nonfatal
1539,employe hand is caught in drill press and is injur,Nonfatal
1540,employe is crush and kill by golf cart,Fatal
1541,employe finger is caught in equip belt and is amputat,Nonfatal
1542,employe fall from scaffold to concret floor result in ,Nonfatal
1543,employe fall 5.75 feet off scaffold and sustain contus,Nonfatal
1544,employe fall from elev platform and fractur knee cap,Nonfatal
1545,employe finger is amput when caught by machin broach,Nonfatal
1546,employe fall 10 feet off ladder and fractur ankl,Nonfatal
1547,employe sustain lacer while prevent glass from fal,Nonfatal
1548,employe hand contact equip move part and injur,Nonfatal
1549,employe amput hand on a pipe machin,Nonfatal
1550,employe fall through skylight and is kill,Fatal
1551,employe fall  to the ground and sustain a fractur,Nonfatal
1552,worker fill mixer sustain amput of two fingers.,Nonfatal
1553,frame worker fall and sustain leg fractur and multipl ,Nonfatal
1554,three employe are kill in a tank explos,Fatal
1555,employe make contact with energ duct and sustain burn,Nonfatal
1556,employe fall into mainten pit and is injur,Nonfatal
1557,employe collid one forklift with anoth and injur foot,Nonfatal
1558,employe get caught in move part of mold machin and is ,Nonfatal
1559,employe amput finger dure remov of forklift from t,Nonfatal
1560,employe amput finger dure remov of bolt equip,Nonfatal
1561,"employe is caught between rotat slitter heads, result",Nonfatal
1562,employe is impal by probe and is hospit,Nonfatal
1563,employe middl and ring finger are caught in equip,Nonfatal
1564,employe finger is amput when caught in press die,Nonfatal
1565,worker repair air condition sustain finger amput,Nonfatal
1566,"employe slips, fall and fractur rib",Nonfatal
1567,two bridg painter sustain multipl injuri when one fall,Nonfatal
1568,anhydr ammonia leak at plant with no injuri,Nonfatal
1569,employe fall from truck and injur head and spine,Nonfatal
1570,employe amput finger while clean energ roller,Nonfatal
1571,employe is kill when crush between a machin and column,Fatal
1572,employe drown in pool while perform garden servic,Fatal
1573,employe is struck by branch while fell tree and is kill,Fatal
1574,employe finger tip contact saw blade and is amput,Nonfatal
1575,employe erect tower sustain multipl injuri when sect,Nonfatal
1576,employe fall from an aerial lift and was killed.,Fatal
1577,employe is struck by fall tree and is injur,Nonfatal
1578,employe perform electr work is burn by arc flash,Nonfatal
1579,employe foot is crush by shaker head,Nonfatal
1580,employe injur hand while clean fish fillet machin,Nonfatal
1581,employe fall 20 feet from util pole and is injur,Nonfatal
1582,employe sever left thumb with band saw,Nonfatal
1583,worker is struck by fall skidder bucket and sustain foot,Nonfatal
1584,employe injur leg when chainsaw strike leg,Nonfatal
1585,employe amput finger when caught by chain drive conveyo,Nonfatal
1586,employe fall on pavement and fractur hip,Nonfatal
1587,employe amput finger while servic crimp machin,Nonfatal
1588,employe fall from shelf and fractur wrist,Nonfatal
1589,employe is caught in press brake and receiv partial amput,Nonfatal
1590,employe amput tip of finger while load coil on roll-,Nonfatal
1591,employe injur hand while reload plastic sheet into ,Nonfatal
1592,"employe finger is caught between fixtur and move part,",Nonfatal
1593,employe amput partial finger amput when caught in ,Nonfatal
1594,employe arm is caught in dough mixer then amputated.,Nonfatal
1595,employe is spray with ammonia (nh3) and is hospit,Nonfatal
1596,employe is hospit for hypoxem respiratori failur,Nonfatal
1597,employe fall through dock and fractur hip,Nonfatal
1598,employe fractur forearm when pull into equip conv,Nonfatal
1599,employe is struck by forklift and fractur both feet,Nonfatal
1600,employe is struck by a crane load and his leg is crush,Nonfatal
1601,employe cut off tip of his left thumb while use a band s,Nonfatal
1602,employe finger is amput when pinch by allig she,Nonfatal
1603,employe sleev is caught in chicken processor and fractur,Nonfatal
1604,employe amput finger when caught between metal rack,Nonfatal
1605,employe die of heart attack while run wire through cei,Fatal
1606,employe fall from ladder and fractur leg,Nonfatal
1607,employe fall and sustain multipl fractur,Nonfatal
1608,employe fall from roof and fractur wrist,Nonfatal
1609,employe catch fire and is kill dure weld oper,Fatal
1610,"employe finger get caught in pack machine, sever t",Nonfatal
1611,employe injur hand while use a bandsaw,Nonfatal
1612,worker carri cylind fall from ladder and fractur his,Nonfatal
1613,employe fall from ladder and fractur leg,Nonfatal
1614,employe injur head in fall from ladder,Nonfatal
1615,employe injur leg dure oper of hydraul press,Nonfatal
1616,employe fall 6 feet into product stage pit and is injur,Nonfatal
1617,employe crash a util cart into a pole and fractur kn,Nonfatal
1618,employe fall from ladder and fractur elbow,Nonfatal
1619,"employe is struck in face by hospit patient, injur",Nonfatal
1620,employe fall from ladder and injur head,Nonfatal
1621,employe fall from scissor lift and is kill,Fatal
1622,"object fall on employe finger, sustain partial amputa",Nonfatal
1623,employe fractur ankl when struck by wooden crate,Nonfatal
1624,an employe was struck by a flatb trailer ramp and is kill,Fatal
1625,employe is crush and kill by fall tree branch,Fatal
1626,employe fractur tibia when foot is run over by scissor li,Nonfatal
1627,employe is kill when caught in rotat in-fe roller,Fatal
1628,employe fall from truck bed and die at hospit,Fatal
1629,employe amput finger while oper portabl tabl saw,Nonfatal
1630,"worker oper nail gun is struck in head, falls, sustain",Nonfatal
1631,employe finger is amput when caught between roller,Nonfatal
1632,employe is caught in move part of machineri and is injur,Nonfatal
1633,employe is found dead of unknown caus on oil tank,Fatal
1634,employe fall on step and injur hip,Nonfatal
1635,employe ankl is crush between forklift and dock plate,Nonfatal
1636,employe fingertip are amput in conveyor,Nonfatal
1637,employe is expos to liquid nitrogen and suffer multipl ,Nonfatal
1638,employe injur arm while clean manufactur equip,Nonfatal
1639,employe cut off tip of right thumb while oper a band ,Nonfatal
1640,employe tip of a finger is caught in cnc machin and is a,Nonfatal
1641,demolit worker oper tabl saw sustain deep cut to t,Nonfatal
1642,worker fall from slipperi ladder and fractur ankl,Nonfatal
1643,employe is caught in machin and has sever finger amputa,Nonfatal
1644,employe fractur leg while oper an electr pallet ja,Nonfatal
1645,employe shock when the crane contact an overhead power l,Nonfatal
1646,employe finger is hit by object and is amput,Nonfatal
1647,employe drive cart through door and sustain fractur,Nonfatal
1648,employe is run over by tractor wheel and is injur,Nonfatal
1649,employe is struck by a brick and is kill,Fatal
1650,employe fall from ladder and fractur vertebra,Nonfatal
1651,employe fingertip is amput while troubl shoot a m,Nonfatal
1652,employe was ski and fractur his hip,Nonfatal
1653,employe fall from ladder and is injur,Nonfatal
1654,employe hand is cut by knife as it was remov from a car,Nonfatal
1655,employe is caught between fixtur and is crush,Fatal
1656,employe struck by fall tree trunk and is kill,Fatal
1657,the employe is struck by fall tree and is killed.,Fatal
1658,"worker fall from ladder and sustain fractures, concussion,",Nonfatal
1659,employe is struck by a baler machin as it is be move a,Nonfatal
1660,employe expos to asbesto while clean up storm damag,Nonfatal
1661,employe is struck by fall tree branch and is killed.,Fatal
1662,worker is struck by pipe wrench and sustain leg fractur,Nonfatal
1663,employe eye is injur by nail,Nonfatal
1664,employe arm is caught in machin and is broken,Nonfatal
1665,employe arm is caught in machin and is broken,Nonfatal
1666,employe is overcom by sewer gas and is kill,Fatal
1667,employe leg is fractur by fall jack,Nonfatal
1668,employe loos control of truck and injur toe,Nonfatal
1669,employe is caught in asphalt sheet product conveyor roll,Nonfatal
1670,employe is burn when fume are ignit dure grind,Nonfatal
1671,employe suffer heart attack while use respiratori protec,Fatal
1672,employe is overcom by fume and is kill,Fatal
1673,worker is struck by fall tree and is kill,Fatal
1674,employe leg is fractur when struck by industri truck,Nonfatal
1675,employe receiv finger amput from batch mixer blade,Nonfatal
1676,employe finger are cut in band saw while cut up a pa,Nonfatal
1677,employe fall from roof and is kill,Fatal
1678,employe drown for some unknown reason,Fatal
1679,employe amput two finger when caught in a machin,Nonfatal
1680,employe knee is injur when pin between industri tr,Nonfatal
1681,employe fall from step ladder and is kill,Nonfatal
1682,employe reach into a spin lath and his thumb is ampu,Nonfatal
1683,employe fall through floor open and is kill,Fatal
1684,employe foot and ankl is crush between forklift and a ,Nonfatal
1685,two worker in enclos space are poison by carbon monoxid,Nonfatal
1686,roofer fall through skylight and sustain leg fractur,Nonfatal
1687,employe hand is pull into a piec folder and is crush,Nonfatal
1688,employe finger is amput by a bread packag machin,Nonfatal
1689,employe fall from substructur and is kill,Fatal
1690,employe is bit on the hand by a possum,Nonfatal
1691,worker is struck by fall excav bucket and sustain mu,Nonfatal
1692,employe sustain burn and injuri from an explos while,Nonfatal
1693,employe fell into river and drown,Fatal
1694,employe amput finger by move equip of machin,Nonfatal
1695,employe fall from tanker and injur head,Nonfatal
1696,employe is burn by sulfur acid while transfer the a,Nonfatal
1697,employe fall from tree and fractur vertebra,Nonfatal
1698,employe #1 thumb partial amput in wood cut mach,Nonfatal
1699,employe fingertip is amput when caught in machin,Nonfatal
1700,employe tip of right ring finger is amput by conveyor,Nonfatal
1701,"carpent instal outrigg fall and fractur ribs, pu",Nonfatal
1702,"employe fall off dumpster and injur face, head, wrists, ",Nonfatal
1703,employe frame a wall fall and sustain back and wrist fr,Nonfatal
1704,employe injur back in fall and is hospit,Nonfatal
1705,employe is struck by fall tree and is kill,Fatal
1706,employe is struck in the head and die 13 day later,Fatal
1707,worker hand is crush by fall pipe,Nonfatal
1708,employe hand is crush by fall pipe,Nonfatal
1709,employee? finger lacer by saw blade,Nonfatal
1710,employe amput toe while oper a high pressur water,Nonfatal
1711,worker instal roof sheet fall and sustain multipl ,Nonfatal
1712,employe fall through a drain cover and sustain burn,Nonfatal
1713,employe amput right middl finger tip on a time belt,Nonfatal
1714,employe fall through work platform and is kill,Fatal
1715,employe fall while walk and break her pelvi,Nonfatal
1716,employe hand and forearm are burn while transfer ho,Nonfatal
1717,"worker fall from ladder, break wrist and ribs, sustain he",Nonfatal
1718,employe fall from elev and break his right lower leg,Nonfatal
1719,employe fingertip is amput in punch press,Nonfatal
1720,"employe trip and falls, bruis forehead",Nonfatal
1721,employe fall from ladder and sustain foot fractur,Nonfatal
1722,employe fall from roof and sustain head trauma,Nonfatal
1723,employe amput finger on band sawl,Nonfatal
1724,employe fall down elev shaft and sustain multipl fra,Nonfatal
1725,employe is caught and pull into a machin and is injur,Nonfatal
1726,employe is kill when struck by explod tire,Fatal
1727,employe reach into run planner and receiv an amputa,Nonfatal
1728,employe amput finger on machin,Nonfatal
1729,roofer fall through skylight and sustain fractur to skul,Nonfatal
1730,employe fingertip is amput in shear machin,Nonfatal
1731,employe right foot is run over by a standup forklift and ,Nonfatal
1732,employe foot run over by a stand-up forklift and toe are,Nonfatal
1733,employe is kill while clean tank that contain alkyl k,Fatal
1734,employe finger is fractur in print press,Nonfatal
1735,employe finger is caught in dough machin and is broken,Nonfatal
1736,employe fall into tank of hot water and is sever burn,Nonfatal
1737,three employe are burn when pour molten stainless ste,Nonfatal
1738,employe amput left index and middl fingertip,Nonfatal
1739,"employe is struck by cable, fall from height and is kill",Fatal
1740,"employe struck-bi metal shavings, sustain lacer to t",Nonfatal
1741,employe run into rack with forklift and fractur leg,Nonfatal
1742,employe hand is lacer by auger while clean machin,Nonfatal
1743,employe is kill in fall from thirteen stori build,Fatal
1744,employe amput two finger while oper a saw,Nonfatal
1745,inspect open after employ repres report work,Nonfatal
1746,employe place hand under guard cover and amput finger,Nonfatal
1747,employe get hand caught in metal roller machin,Nonfatal
1748,employe suffer a subdur hematoma and dies.,Fatal
1749,employe is kill in fall from scaffold,Fatal
1750,employe fingertip is amput in shaper machin,Nonfatal
1751,employe amput 3 finger when a piec of steel fall on ,Nonfatal
1752,employe fail to lockout equip and amput finger,Nonfatal
1753,employe remov a secur guard and amput middl toe of,Nonfatal
1754,employe die of heart attack while work in secur guar,Fatal
1755,employe is kill in fall from fork of forklift,Fatal
1756,employe suffer concuss when he slip and fall while st,Nonfatal
1757,employe injur when caught between blow out prevent an,Nonfatal
1758,employe fall from ladder and is hospit,Nonfatal
1759,employe is injur when cut by unguard grinder,Nonfatal
1760,employe die from heart attack,Fatal
1761,employe is burn while work on electr equip,Nonfatal
1762,"employe is injur in fall from dumpster, later die",Fatal
1763,employe is injur when caught by a drill bit,Nonfatal
1764,employe fall from green hous roof and is injur,Nonfatal
1765,employe hip is fractur when struck by metal pipe,Nonfatal
1766,employe is caught in conveyor belt and is injur,Nonfatal
1767,employe is burn from an arc flash while remov a fuse f,Nonfatal
1768,employe suffer heart attack while walk and die,Fatal
1769,truck driver is injur when struck by fli debri,Nonfatal
1770,an employe finger is sever after reach between the c,Nonfatal
1771,employe fractur toe and is hospit,Nonfatal
1772,employe sustain a fractur left toe when oper a lift,Nonfatal
1773,employe finger are amput when caught in sheav,Nonfatal
1774,a driver sustain a head injuri after fall from a semi-tr,Nonfatal
1775,employe finger is amput by a mechan pruner,Nonfatal
1776,employe finger is amput while grind metal,Nonfatal
1777,employe is burn by an arc flash,Nonfatal
1778,employe is eject from a standup truck and fractur rib,Nonfatal
